MAIN_ID,IDS,Z_VALUE,FLUX_B,FLUX_V,SCRIPT_NUMBER_ID
[KLK2001] 941018.90,[KLK2001] 941018.90,,,,0
GRB 980329A,GRB 980329A,,,,0
[KLK2001] 930705.64,[KLK2001] 930705.64,,,,0
GRB 950325A,GRB 950325A|4B 950325|GRB 950325|Trigger  3480|[STK2001] 09801d,,,,0
[STK2001] 11666e,[STK2001] 11666e,,,,0
GRB 070219,GRB 070219,0.3140000,,,0
[KLK2001] 950522.78,[KLK2001] 950522.78,,,,0
[KLK2001] 960328.00,[KLK2001] 960328.00,,,,0
[STK2001] 09323c,[STK2001] 09323c,,,,0
Fermi bn141230871,Fermi bn141230871,,,,0
1B 911123B,1B 911123B|2B 911123B|3B 911123B|4B 911123B|Trigger  1112|[STK2001] 08583a,,,,0
GRB 101130A,GRB 101130A,,,,0
[KLK2001] 960309.06,[KLK2001] 960309.06,,,,0
Fermi bn110529034,GRB 110529A|Fermi bn110529034,,,,0
Fermi bn081122614,GRB 081122B|Fermi bn081122614,,,,0
Fermi bn090518080,GRB 090518|Fermi bn090518080|GRB 090518A,,,,0
Fermi bn090704783,GRB 090704B|Fermi bn090704783,,,,0
4B 960717,4B 960717|Trigger  5543,,,,0
GRB 061110A,GRB 061110A,0.7578000,,,0
3B 940827B,3B 940827B|4B 940827B|Trigger  3139|[STK2001] 09591a,,,,0
GRB 921025,GRB 921025|PhebusB 921025|WATCH 921025,,,,0
3B 930622B,3B 930622B|4B 930622B|Trigger  2408|[STK2001] 09160a,,,,0
GRB 971220A,GRB 971220A|Trigger  6539|[STK2001] 10802a,,,,0
GRB 211224A,GRB 211224A,,,,0
Fermi bn101119685,GRB 101119A|Fermi bn101119685,,,,0
GRB 100902A,GRB 100902A,4.5000000,,,0
NTB 930513.98,NTB 930513.98,,,,0
4B 950529,4B 950529|Trigger  3606|[STK2001] 09866a,,,,0
[STK2001] 09852b,[STK2001] 09852b,,,,0
